"sample_id","molecule_h5","sample_id_ori2","Counts_List"
"STARR_078","/media/jianie/SequencingFiles_7/20221107_Counts/STARR_078/outs/molecule_info.h5","STARR_078",364
"STARR_084","/media/jianie/SequencingFiles_7/20221107_Counts/STARR_084/outs/molecule_info.h5","STARR_084",372
"STARR_087_2nd","/media/jianie/SequencingFiles_7/20221107_Counts/STARR_087_2nd/outs/molecule_info.h5","STARR_087",370
"STARR_087_2_combine","/media/jianie/SequencingFiles_7/20221107_Counts/STARR_087_2_combine/outs/molecule_info.h5","STARR_087",375
"STARR_093_2nd","/media/jianie/SequencingFiles_7/20221107_Counts/STARR_093_2nd/outs/molecule_info.h5","STARR_093",373
"STARR_093_2_combine","/media/jianie/SequencingFiles_7/20221107_Counts/STARR_093_2_combine/outs/molecule_info.h5","STARR_093",377
"STARR_095","/media/jianie/SequencingFiles_7/20221107_Counts/STARR_095/outs/molecule_info.h5","STARR_095",368
"STARR_096","/media/jianie/SequencingFiles_7/20221107_Counts/STARR_096/outs/molecule_info.h5","STARR_096",369
"STARR_098_2nd","/media/jianie/SequencingFiles_7/20221107_Counts/STARR_098_2nd/outs/molecule_info.h5","STARR_098",374
"STARR_098_2_combine","/media/jianie/SequencingFiles_7/20221107_Counts/STARR_098_2_combine/outs/molecule_info.h5","STARR_098",378
"STARR_099_2nd","/media/jianie/SequencingFiles_7/20221107_Counts/STARR_099_2nd/outs/molecule_info.h5","STARR_099",371
"STARR_099_2_combine","/media/jianie/SequencingFiles_7/20221107_Counts/STARR_099_2_combine/outs/molecule_info.h5","STARR_099",376
"STARR_101","/media/jianie/SequencingFiles_7/20221107_Counts/STARR_101/outs/molecule_info.h5","STARR_101",367
"STARR_104","/media/jianie/SequencingFiles_7/20221107_Counts/STARR_104/outs/molecule_info.h5","STARR_104",366
"STARR_105","/media/jianie/SequencingFiles_7/20221107_Counts/STARR_105/outs/molecule_info.h5","STARR_105",365
