"sample_id","molecule_h5","sample_id_ori2","Counts_List"
"76615_V5_force10447","/media/jianie/Seagate_SequencingFiles_2/20210126_UTA_NovaSeq_L3_Counts/76615_V5_force10447/outs/molecule_info.h5","76615_V5",264
"76615_V5","/media/jianie/Seagate_SequencingFiles_2/20210126_UTA_NovaSeq_L3_Counts/76615_V5/outs/molecule_info.h5","76615_V5",63
"76632_V11","/media/jianie/Seagate_SequencingFiles_2/20210830_L3_counts_dual/76632_V11/outs/molecule_info.h5","76632_V11",81
"76632_V11_combine_force6000","/media/jianie/SequencingFiles_3/20211105_L3_L4_Counts/76632_V11_combine_force6000/outs/molecule_info.h5","76632_V11",170
"76632_V11_combine","/media/jianie/SequencingFiles_3/20211105_L3_L4_Counts/76632_V11_combine/outs/molecule_info.h5","76632_V11",114
"76632_V11_2nd","/media/jianie/SequencingFiles_3/20211105_L3_L4_Counts/76632_V11_2nd/outs/molecule_info.h5","76632_V11",102
"76632_V5","/media/jianie/Seagate_SequencingFiles_2/20210716_L2_counts_single/76632_V5/outs/molecule_info.h5","76632_V5",71
"76632_V5_2nd","/media/jianie/SequencingFiles_3/20211105_L3_L4_Counts/76632_V5_2nd/outs/molecule_info.h5","76632_V5",100
"76632_V5_combine","/media/jianie/SequencingFiles_3/20211105_L3_L4_Counts/76632_V5_combine/outs/molecule_info.h5","76632_V5",115
"76638_V11","/media/jianie/SequencingFiles_3/20211105_L3_L4_Counts/76638_V11/outs/molecule_info.h5","76638_V11",111
"76638_V11_force10000","/media/jianie/SequencingFiles_3/20211105_L3_L4_Counts/76638_V11_force10000/outs/molecule_info.h5","76638_V11",125
"76638_V11_combine","/media/jianie/SequencingFiles_3/20220620_Counts/76638_V11_combine/outs/molecule_info.h5","76638_V11",154
"76638_V11_2nd","/media/jianie/SequencingFiles_3/20220620_Counts/76638_V11_2nd/outs/molecule_info.h5","76638_V11",141
"76638_V11_combine_force12000","/media/jianie/SequencingFiles_3/20220620_Counts/76638_V11_combine_force12000/outs/molecule_info.h5","76638_V11",161
"76638_V11_combine_force18000","/media/jianie/SequencingFiles_3/20220620_Counts/76638_V11_combine_force18000/outs/molecule_info.h5","76638_V11",173
"76638_V11_combine_force15000","/media/jianie/SequencingFiles_3/20220620_Counts/76638_V11_combine_force15000/outs/molecule_info.h5","76638_V11",172
"76638_V5","/media/jianie/Seagate_SequencingFiles_2/20210830_L3_counts_dual/76638_V5/outs/molecule_info.h5","76638_V5",82
"76638_V5_2nd","/media/jianie/SequencingFiles_3/20211105_L3_L4_Counts/76638_V5_2nd/outs/molecule_info.h5","76638_V5",108
