"sample_id","molecule_h5","sample_id_ori2","Counts_List"
"Buttons_Marmoset","/media/jianie/Seagate_SequencingFiles_1/20190717_NextSeq_fastq_Counts/Buttons_Marmoset/outs/molecule_info.h5","Buttons",10
"NG_Buttons","/media/jianie/Seagate_SequencingFiles_1/20190912_NovaSeq_fastq_Counts/NG_Buttons/outs/molecule_info.h5","Buttons",23
"Button","/media/jianie/Seagate_SequencingFiles_1/20190912_NovaSeq_fastq_Counts/Button/outs/molecule_info.h5","Buttons",32
"Button_combine_force","/media/jianie/Seagate_SequencingFiles_1/20190912_NovaSeq_fastq_Counts/Button_combine_force/outs/molecule_info.h5","Buttons",34
"Button_combine","/media/jianie/Seagate_SequencingFiles_1/20190912_NovaSeq_fastq_Counts/Button_combine/outs/molecule_info.h5","Buttons",33
"ALL_Buttons","/media/jianie/Seagate_SequencingFiles_1/20190912_NovaSeq_fastq_Counts/ALL_Buttons/outs/molecule_info.h5","Buttons",26
"Evie","/media/jianie/Seagate_SequencingFiles_1/20210114_UTA_NovaSeq_L3_Counts/Evie/outs/molecule_info.h5","Evie",60
"Norton","/media/jianie/Seagate_SequencingFiles_1/20210114_UTA_NovaSeq_L3_Counts/Norton/outs/molecule_info.h5","Norton",62
"Norton_combine","/media/jianie/Seagate_SequencingFiles_2/20210716_L2_counts_single/Norton_combine/outs/molecule_info.h5","Norton",73
"Norton_2nd","/media/jianie/Seagate_SequencingFiles_2/20210716_L2_counts_single/Norton_2nd/outs/molecule_info.h5","Norton",72
"Norton_combine_force","/media/jianie/Seagate_SequencingFiles_2/20210716_L2_counts_single/Norton_combine_force/outs/molecule_info.h5","Norton",74
"Marmoset_Olaf","/media/jianie/Seagate_SequencingFiles_1/20210114_UTA_NovaSeq_L3_Counts/Marmoset_Olaf/outs/molecule_info.h5","Olaf",61
"Rapa_Marmoset","/media/jianie/Seagate_SequencingFiles_1/20190613_NextSeq_fastq_Counts/Rapa_Marmoset/outs/molecule_info.h5","Rapa",5
"NG_Rapa_Mar","/media/jianie/Seagate_SequencingFiles_1/20190816_NovaSeq_fastq_Counts/NG_Rapa_Mar/outs/molecule_info.h5","Rapa",19
"Rapa_Mar","/media/jianie/Seagate_SequencingFiles_1/20191121_NovaSeq_Counts/Rapa_Mar/outs/molecule_info.h5","Rapa",47
"Rapa_Mar_combine","/media/jianie/Seagate_SequencingFiles_1/20191121_NovaSeq_Counts/Rapa_Mar_combine/outs/molecule_info.h5","Rapa",46
