"sample_id","molecule_h5","sample_id_ori2","Counts_List"
"76647_V5_3rd","/media/jianie/SequencingFiles_7/20220926_Counts/76647_V5_3rd/outs/molecule_info.h5","76647_V5",303
"76647_V5_3_combine","/media/jianie/SequencingFiles_7/20220926_Counts/76647_V5_3_combine/outs/molecule_info.h5","76647_V5",324
"76664_V11_1st","/media/jianie/SequencingFiles_7/20220926_Counts/76664_V11_1st/outs/molecule_info.h5","76664_V11",317
"STARR_051_3rd","/media/jianie/SequencingFiles_7/20220926_Counts/STARR_051_3rd/outs/molecule_info.h5","STARR_051",302
"STARR_051_3_combine","/media/jianie/SequencingFiles_7/20220926_Counts/STARR_051_3_combine/outs/molecule_info.h5","STARR_051",323
"STARR_073_3rd","/media/jianie/SequencingFiles_7/20220926_Counts/STARR_073_3rd/outs/molecule_info.h5","STARR_073",304
"STARR_087_1st","/media/jianie/SequencingFiles_7/20220926_Counts/STARR_087_1st/outs/molecule_info.h5","STARR_087",318
"STARR_093_1st","/media/jianie/SequencingFiles_7/20220926_Counts/STARR_093_1st/outs/molecule_info.h5","STARR_093",322
"STARR_097_1st","/media/jianie/SequencingFiles_7/20220926_Counts/STARR_097_1st/outs/molecule_info.h5","STARR_097",321
"STARR_098_1st","/media/jianie/SequencingFiles_7/20220926_Counts/STARR_098_1st/outs/molecule_info.h5","STARR_098",320
"STARR_099_1st","/media/jianie/SequencingFiles_7/20220926_Counts/STARR_099_1st/outs/molecule_info.h5","STARR_099",319
