"sample_id","molecule_h5","sample_id_ori2","Counts_List"
"76638_V11_combine_force15000","/media/jianie/SequencingFiles_3/20220620_Counts/76638_V11_combine_force15000/outs/molecule_info.h5","76638_V11",172
"76638_V11_combine","/media/jianie/SequencingFiles_3/20220620_Counts/76638_V11_combine/outs/molecule_info.h5","76638_V11",154
"76638_V11_combine_force18000","/media/jianie/SequencingFiles_3/20220620_Counts/76638_V11_combine_force18000/outs/molecule_info.h5","76638_V11",173
"76638_V11_2nd","/media/jianie/SequencingFiles_3/20220620_Counts/76638_V11_2nd/outs/molecule_info.h5","76638_V11",141
"76638_V11_combine_force12000","/media/jianie/SequencingFiles_3/20220620_Counts/76638_V11_combine_force12000/outs/molecule_info.h5","76638_V11",161
"76643_V11","/media/jianie/SequencingFiles_3/20220620_Counts/76643_V11/outs/molecule_info.h5","76643_V11",136
"76647_V11","/media/jianie/SequencingFiles_3/20220620_Counts/76647_V11/outs/molecule_info.h5","76647_V11",138
"76649_V11","/media/jianie/SequencingFiles_3/20220620_Counts/76649_V11/outs/molecule_info.h5","76649_V11",137
"76656_V11","/media/jianie/SequencingFiles_3/20220620_Counts/76656_V11/outs/molecule_info.h5","76656_V11",139
"76658_V11","/media/jianie/SequencingFiles_3/20220620_Counts/76658_V11/outs/molecule_info.h5","76658_V11",140
"76658_V5_2nd","/media/jianie/SequencingFiles_3/20220620_Counts/76658_V5_2nd/outs/molecule_info.h5","76658_V5",142
"76658_V5_combine_force12000","/media/jianie/SequencingFiles_3/20220620_Counts/76658_V5_combine_force12000/outs/molecule_info.h5","76658_V5",160
"76658_V5_combine","/media/jianie/SequencingFiles_3/20220620_Counts/76658_V5_combine/outs/molecule_info.h5","76658_V5",159
"76660_V5","/media/jianie/SequencingFiles_3/20220620_Counts/76660_V5/outs/molecule_info.h5","76660_V5",143
"76661_V5","/media/jianie/SequencingFiles_3/20220620_Counts/76661_V5/outs/molecule_info.h5","76661_V5",144
"STARR_026_combine_force9000","/media/jianie/SequencingFiles_3/20220616_L1_Counts/STARR_026_combine_force9000/outs/molecule_info.h5","STARR_026",174
"STARR_026_combine","/media/jianie/SequencingFiles_3/20220616_L1_Counts/STARR_026_combine/outs/molecule_info.h5","STARR_026",155
"STARR_026_2nd","/media/jianie/SequencingFiles_3/20220616_L1_Counts/STARR_026_2nd/outs/molecule_info.h5","STARR_026",130
"STARR_026_combine_force8000","/media/jianie/SequencingFiles_3/20220616_L1_Counts/STARR_026_combine_force8000/outs/molecule_info.h5","STARR_026",175
"STARR_026_combine_force7000","/media/jianie/SequencingFiles_3/20220616_L1_Counts/STARR_026_combine_force7000/outs/molecule_info.h5","STARR_026",164
"STARR_041_3rd","/media/jianie/SequencingFiles_3/20220616_L1_Counts/STARR_041_3rd/outs/molecule_info.h5","STARR_041",131
"STARR_041_combine3_force12000","/media/jianie/SequencingFiles_3/20220616_L1_Counts/STARR_041_combine3_force12000/outs/molecule_info.h5","STARR_041",157
"STARR_041_combine3","/media/jianie/SequencingFiles_3/20220616_L1_Counts/STARR_041_combine3/outs/molecule_info.h5","STARR_041",156
"STARR_043_combine","/media/jianie/SequencingFiles_3/20220616_L1_Counts/STARR_043_combine/outs/molecule_info.h5","STARR_043",158
"STARR_043_combine_force9000","/media/jianie/SequencingFiles_3/20220616_L1_Counts/STARR_043_combine_force9000/outs/molecule_info.h5","STARR_043",165
"STARR_043_2nd","/media/jianie/SequencingFiles_3/20220616_L1_Counts/STARR_043_2nd/outs/molecule_info.h5","STARR_043",132
"STARR_059","/media/jianie/SequencingFiles_3/20220616_L1_Counts/STARR_059/outs/molecule_info.h5","STARR_059",133
"STARR_060","/media/jianie/SequencingFiles_3/20220616_L1_Counts/STARR_060/outs/molecule_info.h5","STARR_060",134
"STARR_063","/media/jianie/SequencingFiles_3/20220616_L1_Counts/STARR_063/outs/molecule_info.h5","STARR_063",135
"STARR_069","/media/jianie/SequencingFiles_3/20220620_Counts/STARR_069/outs/molecule_info.h5","STARR_069",146
"STARR_071","/media/jianie/SequencingFiles_3/20220620_Counts/STARR_071/outs/molecule_info.h5","STARR_071",145
"STARR_072","/media/jianie/SequencingFiles_3/20220620_Counts/STARR_072/outs/molecule_info.h5","STARR_072",148
"STARR_073","/media/jianie/SequencingFiles_3/20220620_Counts/STARR_073/outs/molecule_info.h5","STARR_073",147
"STARR_075","/media/jianie/SequencingFiles_3/20220620_Counts/STARR_075/outs/molecule_info.h5","STARR_075",149
"STARR_077","/media/jianie/SequencingFiles_3/20220620_Counts/STARR_077/outs/molecule_info.h5","STARR_077",150
"STARR_077_FZ","/media/jianie/SequencingFiles_3/20220620_Counts/STARR_077_FZ/outs/molecule_info.h5","STARR_077_FZ",151
"STARR_077_FZ_force12248","/media/jianie/SequencingFiles_3/20220620_Counts/STARR_077_FZ_force12248/outs/molecule_info.h5","STARR_077_FZ",166
"STARR_077_FZ_force18417","/media/jianie/SequencingFiles_3/20220620_Counts/STARR_077_FZ_force18417/outs/molecule_info.h5","STARR_077_FZ",171
"STARR_077_LS","/media/jianie/SequencingFiles_3/20220620_Counts/STARR_077_LS/outs/molecule_info.h5","STARR_077_LS",152
"STARR_077_LS_force12248","/media/jianie/SequencingFiles_3/20220620_Counts/STARR_077_LS_force12248/outs/molecule_info.h5","STARR_077_LS",167
"STARR_079","/media/jianie/SequencingFiles_3/20220620_Counts/STARR_079/outs/molecule_info.h5","STARR_079",153
