sample_id,molecule_h5,sample_id_ori2,Counts_List
76615_V5_force10447,/media/jianie/Seagate_SequencingFiles_1/20210126_UTA_NovaSeq_L3_Counts/76615_V5_force10447/outs/molecule_info.h5,76615_V5,264
76615_V5_force10739,/media/jianie/Seagate_SequencingFiles_1/20210126_UTA_NovaSeq_L3_Counts/76615_V5_force10739/outs/molecule_info.h5,76615_V5,281
76632_V11_combine_force6012,/media/jianie/SequencingFiles_3/20211105_L3_L4_Counts/76632_V11_combine_force6012/outs/molecule_info.h5,76632_V11,282
76632_V5_combine_force9545,/media/jianie/SequencingFiles_3/20211105_L3_L4_Counts/76632_V5_combine_force9545/outs/molecule_info.h5,76632_V5,283
76638_V5_combine_force9413,/media/jianie/SequencingFiles_3/20211105_L3_L4_Counts/76638_V5_combine_force9413/outs/molecule_info.h5,76638_V5,284
76643_V11_combine,/media/jianie/SequencingFiles_6/20220801_Counts/76643_V11_combine/outs/molecule_info.h5,76643_V11,260
76647_V11_combine_force14625,/media/jianie/SequencingFiles_6/20220801_Counts/76647_V11_combine_force14625/outs/molecule_info.h5,76647_V11,285
76649_V11_combine_force23260,/media/jianie/SequencingFiles_6/20220801_Counts/76649_V11_combine_force23260/outs/molecule_info.h5,76649_V11,286
76649_V5_combine_force14435,/media/jianie/SequencingFiles_3/20211105_L3_L4_Counts/76649_V5_combine_force14435/outs/molecule_info.h5,76649_V5,287
76656_V11_combine,/media/jianie/SequencingFiles_6/20220801_Counts/76656_V11_combine/outs/molecule_info.h5,76656_V11,263
76658_V11_combine_force23181,/media/jianie/SequencingFiles_6/20220801_Counts/76658_V11_combine_force23181/outs/molecule_info.h5,76658_V11,288
76660_V5_combine,/media/jianie/SequencingFiles_6/20220801_Counts/76660_V5_combine/outs/molecule_info.h5,76660_V5,261
76661_V5_combine,/media/jianie/SequencingFiles_6/20220801_Counts/76661_V5_combine/outs/molecule_info.h5,76661_V5,262
