"sample_id","molecule_h5","sample_id_ori2","Counts_List"
"76638_V11_3rd","/media/jianie/SequencingFiles_6/20220914_Counts/76638_V11_3rd/outs/molecule_info.h5","76638_V11",305
"76638_V11_3_combine","/media/jianie/SequencingFiles_6/20220914_Counts/76638_V11_3_combine/outs/molecule_info.h5","76638_V11",326
"76658_V5_3_combine","/media/jianie/SequencingFiles_6/20220914_Counts/76658_V5_3_combine/outs/molecule_info.h5","76658_V5",327
"76658_V5_3rd","/media/jianie/SequencingFiles_6/20220914_Counts/76658_V5_3rd/outs/molecule_info.h5","76658_V5",306
"76660_V11_2_combine","/media/jianie/SequencingFiles_6/20220914_Counts/76660_V11_2_combine/outs/molecule_info.h5","76660_V11",333
"76660_V11_2nd","/media/jianie/SequencingFiles_6/20220914_Counts/76660_V11_2nd/outs/molecule_info.h5","76660_V11",312
"76661_V11_2nd","/media/jianie/SequencingFiles_6/20220914_Counts/76661_V11_2nd/outs/molecule_info.h5","76661_V11",313
"76661_V11_2_combine","/media/jianie/SequencingFiles_6/20220914_Counts/76661_V11_2_combine/outs/molecule_info.h5","76661_V11",334
"76662_V11_2nd","/media/jianie/SequencingFiles_6/20220914_Counts/76662_V11_2nd/outs/molecule_info.h5","76662_V11",308
"76662_V11_2_combine","/media/jianie/SequencingFiles_6/20220914_Counts/76662_V11_2_combine/outs/molecule_info.h5","76662_V11",329
"76662_V5_2_combine","/media/jianie/SequencingFiles_6/20220914_Counts/76662_V5_2_combine/outs/molecule_info.h5","76662_V5",332
"76662_V5_2nd","/media/jianie/SequencingFiles_6/20220914_Counts/76662_V5_2nd/outs/molecule_info.h5","76662_V5",311
"76664_V5_2nd","/media/jianie/SequencingFiles_6/20220914_Counts/76664_V5_2nd/outs/molecule_info.h5","76664_V5",309
