"sample_id","molecule_h5","sample_id_ori","Counts_List"
"STARR_015","/media/jianie/Seagate_SequencingFiles_1/20190912_NovaSeq_fastq_Counts/STARR_015_combine_force12660/outs/molecule_info.h5","STARR_015_combine_force12660",230
"STARR_016","/media/jianie/Seagate_SequencingFiles_1/20190912_NovaSeq_fastq_Counts/STARR_016_force7398/outs/molecule_info.h5","STARR_016_force7398",267
"STARR_024","/media/jianie/SequencingFiles_3/20210716_L2_counts_single/STARR_024_combine_force9907/outs/molecule_info.h5","STARR_024_combine_force9907",266
"STARR_026","/media/jianie/SequencingFiles_3/20220616_L1_Counts/STARR_026_combine_force8966/outs/molecule_info.h5","STARR_026_combine_force8966",247
"STARR_041","/media/jianie/SequencingFiles_3/20220616_L1_Counts/STARR_041_combine3/outs/molecule_info.h5","STARR_041_combine3",156
"STARR_043","/media/jianie/SequencingFiles_3/20220616_L1_Counts/STARR_043_combine_force9146/outs/molecule_info.h5","STARR_043_combine_force9146",269
"STARR_049","/media/jianie/SequencingFiles_3/20211105_L3_L4_Counts/STARR_049_combine_force8535/outs/molecule_info.h5","STARR_049_combine_force8535",289
"STARR_051","/media/jianie/SequencingFiles_7/20220926_Counts/STARR_051_3_combine_force9998/outs/molecule_info.h5","STARR_051_3_combine_force9998",353
"STARR_059","/media/jianie/SequencingFiles_3/20220616_L1_Counts/STARR_059_force5793/outs/molecule_info.h5","STARR_059_force5793",271
"STARR_060","/media/jianie/SequencingFiles_4/20220715_Counts/STARR_060_combine_force9464/outs/molecule_info.h5","STARR_060_combine_force9464",272
"STARR_060","/media/jianie/SequencingFiles_6/20220914_Counts/STARR_060_3_combine_force15976/outs/molecule_info.h5","STARR_060_3_combine_force15976",340
"STARR_063","/media/jianie/SequencingFiles_4/20220715_Counts/STARR_063_combine_force7508/outs/molecule_info.h5","STARR_063_combine_force7508",273
"STARR_069","/media/jianie/SequencingFiles_4/20220715_Counts/STARR_069_combine_force8196/outs/molecule_info.h5","STARR_069_combine_force8196",274
"STARR_071","/media/jianie/SequencingFiles_4/20220715_Counts/STARR_071_combine_force11261/outs/molecule_info.h5","STARR_071_combine_force11261",275
"STARR_072","/media/jianie/SequencingFiles_4/20220715_Counts/STARR_072_combine_force13147/outs/molecule_info.h5","STARR_072_combine_force13147",254
"STARR_075","/media/jianie/SequencingFiles_4/20220715_Counts/STARR_075_combine_force18792/outs/molecule_info.h5","STARR_075_combine_force18792",276
"STARR_077","/media/jianie/SequencingFiles_4/20220715_Counts/STARR_077_combine_force13134/outs/molecule_info.h5","STARR_077_combine_force13134",290
"STARR_079","/media/jianie/SequencingFiles_4/20220715_Counts/STARR_079_combine_force13446/outs/molecule_info.h5","STARR_079_combine_force13446",278
"STARR_080","/media/jianie/SequencingFiles_4/20220715_Counts/STARR_080_force4270/outs/molecule_info.h5","STARR_080_force4270",279
"STARR_082","/media/jianie/SequencingFiles_6/20220914_Counts/STARR_082_2_combine/outs/molecule_info.h5","STARR_082_2_combine",331
"STARR_085","/media/jianie/SequencingFiles_4/20220715_Counts/STARR_085_Bar_force9000/outs/molecule_info.h5","STARR_085_Bar_force9000",280
"STARR_097","/media/jianie/SequencingFiles_7/20220926_Counts/STARR_097_1_force4676/outs/molecule_info.h5","STARR_097_1_force4676",354
