"sample_id","molecule_h5","sample_id_ori","Counts_List"
"76664_V11","/media/jianie/SequencingFiles_7/20220926_Counts/76664_V11_1_force8379/outs/molecule_info.h5","76664_V11_1_force8379",351
"STARR_015","/media/jianie/Seagate_SequencingFiles_1/20190912_NovaSeq_fastq_Counts/STARR_015_combine_force12660/outs/molecule_info.h5","STARR_015_combine_force12660",230
"STARR_016","/media/jianie/Seagate_SequencingFiles_1/20190912_NovaSeq_fastq_Counts/STARR_016_force8604/outs/molecule_info.h5","STARR_016_force8604",385
"STARR_024","/media/jianie/SequencingFiles_3/20210716_L2_counts_single/STARR_024_combine_force11538/outs/molecule_info.h5","STARR_024_combine_force11538",386
"STARR_026","/media/jianie/SequencingFiles_3/20220616_L1_Counts/STARR_026_combine_force8966/outs/molecule_info.h5","STARR_026_combine_force8966",247
"STARR_041","/media/jianie/SequencingFiles_3/20220616_L1_Counts/STARR_041_combine3/outs/molecule_info.h5","STARR_041_combine3",156
"STARR_043","/media/jianie/SequencingFiles_3/20220616_L1_Counts/STARR_043_combine_force10654/outs/molecule_info.h5","STARR_043_combine_force10654",387
"STARR_049","/media/jianie/SequencingFiles_3/20211105_L3_L4_Counts/STARR_049_combine_force9958/outs/molecule_info.h5","STARR_049_combine_force9958",388
"STARR_059","/media/jianie/SequencingFiles_3/20220616_L1_Counts/STARR_059_force6723/outs/molecule_info.h5","STARR_059_force6723",390
"STARR_063","/media/jianie/SequencingFiles_4/20220715_Counts/STARR_063_combine_force8690/outs/molecule_info.h5","STARR_063_combine_force8690",392
"STARR_069","/media/jianie/SequencingFiles_4/20220715_Counts/STARR_069_combine_force9558/outs/molecule_info.h5","STARR_069_combine_force9558",393
"STARR_072","/media/jianie/SequencingFiles_4/20220715_Counts/STARR_072_combine_force15288/outs/molecule_info.h5","STARR_072_combine_force15288",395
"STARR_077","/media/jianie/SequencingFiles_4/20220715_Counts/STARR_077_combine_force15275/outs/molecule_info.h5","STARR_077_combine_force15275",398
"STARR_079","/media/jianie/SequencingFiles_4/20220715_Counts/STARR_079_combine_force15655/outs/molecule_info.h5","STARR_079_combine_force15655",399
"STARR_080","/media/jianie/SequencingFiles_4/20220715_Counts/STARR_080_force5000/outs/molecule_info.h5","STARR_080_force5000",229
"STARR_085","/media/jianie/SequencingFiles_4/20220715_Counts/STARR_085_Bar_force9000/outs/molecule_info.h5","STARR_085_Bar_force9000",280
