"sample_id","molecule_h5","sample_id_ori","Counts_List"
"76664_V11","/media/jianie/SequencingFiles_7/20220926_Counts/76664_V11_1_force8379/outs/molecule_info.h5","76664_V11_1_force8379",351
"STARR_051","/media/jianie/SequencingFiles_7/20220926_Counts/STARR_051_3_combine_force11646/outs/molecule_info.h5","STARR_051_3_combine_force11646",389
"STARR_060","/media/jianie/SequencingFiles_6/20220914_Counts/STARR_060_3_combine_force18748/outs/molecule_info.h5","STARR_060_3_combine_force18748",391
"STARR_071","/media/jianie/SequencingFiles_4/20220715_Counts/STARR_071_combine_force13198/outs/molecule_info.h5","STARR_071_combine_force13198",394
"STARR_073","/media/jianie/SequencingFiles_7/20220926_Counts/STARR_073_3_combine_force32403/outs/molecule_info.h5","STARR_073_3_combine_force32403",396
"STARR_075","/media/jianie/SequencingFiles_4/20220715_Counts/STARR_075_combine_force21839/outs/molecule_info.h5","STARR_075_combine_force21839",397
"STARR_081","/media/jianie/SequencingFiles_7/20220926_Counts/STARR_081_2_combine_force10933/outs/molecule_info.h5","STARR_081_2_combine_force10933",400
"STARR_082","/media/jianie/SequencingFiles_6/20220914_Counts/STARR_082_2_combine/outs/molecule_info.h5","STARR_082_2_combine",331
"STARR_083","/media/jianie/SequencingFiles_7/20220926_Counts/STARR_083_2_combine_force18268/outs/molecule_info.h5","STARR_083_2_combine_force18268",358
"STARR_087","/media/jianie/SequencingFiles_7/20221107_Counts/STARR_087_2_combine_force11078/outs/molecule_info.h5","STARR_087_2_combine_force11078",401
"STARR_093","/media/jianie/SequencingFiles_7/20221107_Counts/STARR_093_2_combine_force18615/outs/molecule_info.h5","STARR_093_2_combine_force18615",402
"STARR_095","/media/jianie/SequencingFiles_7/20221107_Counts/STARR_095_force6863/outs/molecule_info.h5","STARR_095_force6863",403
"STARR_098","/media/jianie/SequencingFiles_7/20221107_Counts/STARR_098_2_combine_force11599/outs/molecule_info.h5","STARR_098_2_combine_force11599",404
"STARR_099","/media/jianie/SequencingFiles_7/20221107_Counts/STARR_099_2_combine_force15730/outs/molecule_info.h5","STARR_099_2_combine_force15730",405
"STARR_101","/media/jianie/SequencingFiles_7/20221107_Counts/STARR_101_force11227/outs/molecule_info.h5","STARR_101_force11227",406
"STARR_104","/media/jianie/SequencingFiles_7/20221107_Counts/STARR_104_force8386/outs/molecule_info.h5","STARR_104_force8386",407
