"sample_id","molecule_h5","sample_id_ori","Counts_List"
"76638_V11","/media/jianie/SequencingFiles_6/20220914_Counts/76638_V11_3_combine_force20626/outs/molecule_info.h5","76638_V11_3_combine_force20626",346
"76658_V5","/media/jianie/SequencingFiles_6/20220914_Counts/76658_V5_3_combine_force22986/outs/molecule_info.h5","76658_V5_3_combine_force22986",339
"76660_V11","/media/jianie/SequencingFiles_6/20220914_Counts/76660_V11_2_combine_force12699/outs/molecule_info.h5","76660_V11_2_combine_force12699",348
"76661_V11","/media/jianie/SequencingFiles_6/20220914_Counts/76661_V11_2_combine_force23379/outs/molecule_info.h5","76661_V11_2_combine_force23379",350
"76662_V11","/media/jianie/SequencingFiles_6/20220914_Counts/76662_V11_2_combine_force10955/outs/molecule_info.h5","76662_V11_2_combine_force10955",347
"76662_V5","/media/jianie/SequencingFiles_6/20220914_Counts/76662_V5_2_combine_force9832/outs/molecule_info.h5","76662_V5_2_combine_force9832",343
"76664_V5","/media/jianie/SequencingFiles_6/20220914_Counts/76664_V5_2_combine_force13518/outs/molecule_info.h5","76664_V5_2_combine_force13518",342
"STARR_015","/media/jianie/Seagate_SequencingFiles_1/20190912_NovaSeq_fastq_Counts/STARR_015_combine_force12660/outs/molecule_info.h5","STARR_015_combine_force12660",230
"STARR_016","/media/jianie/Seagate_SequencingFiles_1/20190912_NovaSeq_fastq_Counts/STARR_016_force7398/outs/molecule_info.h5","STARR_016_force7398",267
"STARR_060","/media/jianie/SequencingFiles_6/20220914_Counts/STARR_060_3_combine_force15976/outs/molecule_info.h5","STARR_060_3_combine_force15976",340
