"sample_id","molecule_h5","sample_id_ori","Counts_List"
"76664_V11","/media/jianie/SequencingFiles_7/20220926_Counts/76664_V11_1_force8379/outs/molecule_info.h5","76664_V11_1_force8379",351
"STARR_051","/media/jianie/SequencingFiles_7/20220926_Counts/STARR_051_3_combine_force9998/outs/molecule_info.h5","STARR_051_3_combine_force9998",353
"STARR_060","/media/jianie/SequencingFiles_6/20220914_Counts/STARR_060_3_combine_force15976/outs/molecule_info.h5","STARR_060_3_combine_force15976",340
"STARR_071","/media/jianie/SequencingFiles_4/20220715_Counts/STARR_071_combine_force11261/outs/molecule_info.h5","STARR_071_combine_force11261",275
"STARR_073","/media/jianie/SequencingFiles_7/20220926_Counts/STARR_073_3_combine_force27242/outs/molecule_info.h5","STARR_073_3_combine_force27242",360
"STARR_075","/media/jianie/SequencingFiles_4/20220715_Counts/STARR_075_combine_force18792/outs/molecule_info.h5","STARR_075_combine_force18792",276
"STARR_079","/media/jianie/SequencingFiles_4/20220715_Counts/STARR_079_combine_force13446/outs/molecule_info.h5","STARR_079_combine_force13446",278
"STARR_081","/media/jianie/SequencingFiles_7/20220926_Counts/STARR_081_2_combine_force9252/outs/molecule_info.h5","STARR_081_2_combine_force9252",361
"STARR_082","/media/jianie/SequencingFiles_6/20220914_Counts/STARR_082_2_combine/outs/molecule_info.h5","STARR_082_2_combine",331
"STARR_083","/media/jianie/SequencingFiles_7/20220926_Counts/STARR_083_2_combine_force18268/outs/molecule_info.h5","STARR_083_2_combine_force18268",358
"STARR_097","/media/jianie/SequencingFiles_7/20220926_Counts/STARR_097_1_force4676/outs/molecule_info.h5","STARR_097_1_force4676",354
