"Counts_List","sample_id_ori","Estimated Number of Cells","Mean Reads per Cell","Median Genes per Cell","Number of Reads","Valid Barcodes","Sequencing Saturation","Q30 Bases in Barcode","Q30 Bases in RNA Read","Q30 Bases in Sample Index","Q30 Bases in UMI","Reads Mapped to Genome","Reads Mapped Confidently to Genome","Reads Mapped Confidently to Intergenic Regions","Reads Mapped Confidently to Intronic Regions","Reads Mapped Confidently to Exonic Regions","Reads Mapped Confidently to Transcriptome","Reads Mapped Antisense to Gene","Fraction Reads in Cells","Total Genes Detected","Median UMI Counts per Cell","Date","Project","sample_id","Done","Agg","Status","molecule_h5","root","Disk","CountsFolder","Final_Folder","FileNameAggr","FileNameMetrics","Metrics"
1,"P16-ND",7034,5245,929,36898072,98.2,7.8,95,84.7,93.9,93.9,95.4,93.6,2.9,19.2,71.5,69.9,0.6,93.2,17232,2788,NA,"ALCAT_Mouse","P16_ND","Sean",NA,NA,"/media/jianie/Seagate_SequencingFiles_1/20190613_NextSeq_fastq_Counts/P16-ND/outs/molecule_info.h5","/media/jianie/","Seagate_SequencingFiles_1","20190613_NextSeq_fastq_Counts","/outs/","molecule_info.h5","metrics_summary.csv","/media/jianie/Seagate_SequencingFiles_1/20190613_NextSeq_fastq_Counts/P16-ND/outs/metrics_summary.csv"
2,"Buttons_Marmoset",8792,3133,300,27547862,97.8,3.2,93.5,82.9,90.4,92.2,92.8,84.6,33.9,18.5,32.2,25.6,0.8,91.9,14834,475,NA,"Marmoset","Buttons","Sean",NA,NA,"/media/jianie/Seagate_SequencingFiles_1/20190717_NextSeq_fastq_Counts/Buttons_Marmoset/outs/molecule_info.h5","/media/jianie/","Seagate_SequencingFiles_1","20190717_NextSeq_fastq_Counts","/outs/","molecule_info.h5","metrics_summary.csv","/media/jianie/Seagate_SequencingFiles_1/20190717_NextSeq_fastq_Counts/Buttons_Marmoset/outs/metrics_summary.csv"
3,"76632_V5",8083,22637,3049,182971487,97.1,26.8,94.7,92.3,NA,94,94.9,87.9,8.3,60.4,19.2,68.7,8.9,80.7,27922,7788,20211117,"SGLT2","76632_V5","Jia","no",NA,"/media/jianie/SequencingFiles_3/20211105_L3_L4_Counts/76632_V5/outs/molecule_info.h5","/media/jianie/","SequencingFiles_3","20211105_L3_L4_Counts","/outs/","molecule_info.h5","metrics_summary.csv","/media/jianie/SequencingFiles_3/20211105_L3_L4_Counts/76632_V5/outs/metrics_summary.csv"
4,"STARR_049",8068,27918,2748,225241675,97.5,39.3,94.5,93.3,NA,93.8,96.5,89.7,7.9,61.7,20.2,73.2,6.5,77.7,27314,6466,20211117,"STARR","STARR_049","Jia","no",NA,"/media/jianie/SequencingFiles_3/20211105_L3_L4_Counts/STARR_049/outs/molecule_info.h5","/media/jianie/","SequencingFiles_3","20211105_L3_L4_Counts","/outs/","molecule_info.h5","metrics_summary.csv","/media/jianie/SequencingFiles_3/20211105_L3_L4_Counts/STARR_049/outs/metrics_summary.csv"
5,"76632_V11",5695,35331,1836,201208589,97.8,46.3,94.8,92.7,NA,94.3,94.7,87.2,8.6,57.8,20.7,68.2,8.4,69.3,27178,3147,20211117,"SGLT2","76632_V11","Jia","no",NA,"/media/jianie/SequencingFiles_3/20211105_L3_L4_Counts/76632_V11/outs/molecule_info.h5","/media/jianie/","SequencingFiles_3","20211105_L3_L4_Counts","/outs/","molecule_info.h5","metrics_summary.csv","/media/jianie/SequencingFiles_3/20211105_L3_L4_Counts/76632_V11/outs/metrics_summary.csv"
8,"76643_V5",1950,13096,1234,25537895,97.9,17.7,94.8,91.2,NA,94.3,92.4,84.5,8.5,56.8,19.3,66.5,7.6,70,23478,1858,20211117,"SGLT2","76643_V5","Jia","no",NA,"/media/jianie/SequencingFiles_3/20211105_L3_L4_Counts/76643_V5/outs/molecule_info.h5","/media/jianie/","SequencingFiles_3","20211105_L3_L4_Counts","/outs/","molecule_info.h5","metrics_summary.csv","/media/jianie/SequencingFiles_3/20211105_L3_L4_Counts/76643_V5/outs/metrics_summary.csv"
9,"76647_V5",12284,52159,3086,640719935,97.1,36.9,94.5,90.1,NA,93.9,84.5,75.2,8.2,51.2,15.8,56,9.4,66.4,29363,7499,20211117,"SGLT2","76647_V5","Jia","no",NA,"/media/jianie/SequencingFiles_3/20211105_L3_L4_Counts/76647_V5/outs/molecule_info.h5","/media/jianie/","SequencingFiles_3","20211105_L3_L4_Counts","/outs/","molecule_info.h5","metrics_summary.csv","/media/jianie/SequencingFiles_3/20211105_L3_L4_Counts/76647_V5/outs/metrics_summary.csv"
10,"STARR_051",9335,36848,2688,343972393,97.6,42.3,94.4,93,NA,93.6,94.5,88.4,8.1,59.7,20.6,68.5,9.8,65.3,27862,6055,20211117,"STARR","STARR_051","Jia","no",NA,"/media/jianie/SequencingFiles_3/20211105_L3_L4_Counts/STARR_051/outs/molecule_info.h5","/media/jianie/","SequencingFiles_3","20211105_L3_L4_Counts","/outs/","molecule_info.h5","metrics_summary.csv","/media/jianie/SequencingFiles_3/20211105_L3_L4_Counts/STARR_051/outs/metrics_summary.csv"
11,"76649_V5",17856,54384,2072,971077397,96.7,66.5,94.7,92.6,NA,94,95.6,90.4,7.4,60.8,22.2,53.7,27.9,83,29916,3844,20211117,"SGLT2","76649_V5","Jia","no",NA,"/media/jianie/SequencingFiles_3/20211105_L3_L4_Counts/76649_V5/outs/molecule_info.h5","/media/jianie/","SequencingFiles_3","20211105_L3_L4_Counts","/outs/","molecule_info.h5","metrics_summary.csv","/media/jianie/SequencingFiles_3/20211105_L3_L4_Counts/76649_V5/outs/metrics_summary.csv"
12,"76638_V5_Muscle",15564,31676,1305,492998128,96.7,65.5,95.3,91.8,NA,94.7,88.7,68.3,5.1,43.4,19.8,57.5,4.2,55.5,26332,2310,20211117,"SGLT2","76638_V5_Muscle","Jia","no",NA,"/media/jianie/SequencingFiles_3/20211105_L3_L4_Counts/76638_V5_Muscle/outs/molecule_info.h5","/media/jianie/","SequencingFiles_3","20211105_L3_L4_Counts","/outs/","molecule_info.h5","metrics_summary.csv","/media/jianie/SequencingFiles_3/20211105_L3_L4_Counts/76638_V5_Muscle/outs/metrics_summary.csv"
